foodid,food_name,unit,kal,select_time
648,花椰菜乾,100g,291,0
649,金針菜,100g,40,0
650,金針菜乾,100g,307,0
651,洛神花乾,100g,306,0
652,絲瓜花,100g,31,0
653,冬瓜平均值,100g,11,0
654,冬瓜,100g,13,0
655,香芋冬瓜,100g,9,0
656,醃漬冬瓜,100g,24,0
657,南瓜平均值,100g,74,0
658,日本南瓜,100g,86,0
659,台灣南瓜,100g,49,0
660,栗子南瓜,100g,86,0
661,菊花南瓜,100g,76,0
662,胡瓜,100g,14,0
663,花胡瓜,100g,13,0
664,醃漬花胡瓜,100g,83,0
665,苦瓜(白皮),100g,19,0
666,苦瓜(青皮),100g,20,0
667,珍珠苦瓜,100g,19,0
668,野苦瓜,100g,30,0
669,隼人瓜,100g,23,0
670,白皮蛇瓜,100g,19,0
671,綠皮蛇瓜,100g,32,0
672,絲瓜,100g,19,0
673,稜角絲瓜,100g,20,0
674,越瓜,100g,18,0
675,醃漬越瓜,100g,16,0
676,蒲瓜平均值,100g,18,0
677,蒲瓜(長形),100g,19,0
678,蒲瓜(圓形),100g,18,0
679,花蒲瓜(圓形),100g,15,0
680,葫蘆瓜,100g,20,0
681,黃櫛瓜,100g,15,0
682,綠櫛瓜,100g,13,0
683,枸杞子,100g,347,0
684,長茄子,100g,25,0
685,圓茄子,100g,21,0
686,大番茄平均值(紅色系),100g,19,0
687,牛番茄,100g,19,0
688,紅番茄,100g,20,0
689,桃太郎番茄,100g,17,0
690,黃番茄,100g,23,0
691,大番茄平均值(綠色系),100g,22,0
692,粉柿番茄,100g,18,0
693,黑柿蕃茄,100g,23,0
694,綠番茄,100g,25,0
695,小番茄平均值(紅色系),100g,33,0
696,聖女小番茄,100g,35,0
697,試交二號小番茄,100g,30,0
698,櫻桃小番茄,100g,34,0
699,黃金小蕃茄,100g,31,0
700,小番茄平均值(橙色系),100g,31,0
701,金女小番茄,100g,30,0
702,黃金聖女小番茄,100g,31,0
703,橙蕃茄,100g,32,0
704,甜椒平均值(青皮),100g,29,0
705,甜椒(青皮),100g,23,0
706,小甜椒(青皮),100g,35,0
707,高山甜椒(青皮),100g,30,0
708,甜椒(紅皮),100g,33,0
709,甜椒(黃皮),100g,28,0
710,甜椒(橙皮),100g,35,0
711,青辣椒平均值,100g,33,0
712,角椒,100g,22,0
713,長辣椒(青皮),100g,49,0
714,糯米椒,100g,28,0
715,紅辣椒平均值,100g,80,0
716,長辣椒(紅皮),100g,48,0
717,朝天椒(長果),100g,90,0
718,朝天椒(圓果),100g,103,0
719,乾長辣椒(紅皮),100g,382,0
720,黃秋葵,100g,36,0
721,青花菜芽,100g,25,0
722,苜蓿芽,100g,20,0
723,紫高麗芽,100g,32,0
724,黃豆芽,100g,34,0
725,黑豆芽,100g,69,0
726,葵花芽,100g,26,0
727,綠豆芽,100g,24,0
728,豌豆芽,100g,25,0
729,蕎麥芽,100g,20,0
730,蘿蔔芽,100g,24,0
731,山蘇菜,100g,26,0
732,火炭母草,100g,12,0
733,石蓮花,100g,11,0
734,青葙,100g,50,0
735,假人蔘,100g,32,0
736,野苦瓜嫩梢,100g,77,0
737,過溝菜蕨,100g,27,0
738,蔘鬚,100g,330,0
739,龍骨瓣莕菜,100g,17,0
740,薄荷,100g,55,0
741,蕺菜,100g,46,0
742,蘆薈,100g,4,0
743,美國空心菜,100g,22,0
744,香芫荽,100g,23,0
745,荷蘭豆菜心,100g,30,0
746,厥子,100g,23,0
747,義大利茼蒿,100g,15,0
748,龍延草,100g,79,0
749,紅毛苔,100g,265,0
750,紫菜,100g,268,0
751,熟紫菜,100g,294,0
752,髮菜,100g,302,0
753,麒麟菜,100g,41,0
754,乾麒麟菜,100g,189,0
755,礁膜,100g,16,0
756,乾海茸芯,100g,254,0
757,海帶平均值,100g,20,0
758,海帶卷,100g,14,0
759,海帶茸,100g,29,0
